100.8505,65.1385,142.2592
106.9883,-27.9499,23.3606
106.1437,-27.6702,23.6179
105.3310,-27.3765,23.8899
104.3462,-26.9926,24.2316
48.7343,10.3374,103.1680
126.8593,21.0352,10.2905
125.5421,21.1987,10.1801
124.3446,21.2054,9.8412
122.8364,21.1327,10.0678
121.0624,21.0070,10.2364
119.2577,20.8920,10.3425
117.3712,20.7630,10.5785
115.6031,20.8747,10.5358
113.4870,20.6681,10.7547
111.0298,20.6606,11.2023
108.6544,20.2159,11.5744
106.4584,19.6400,11.7265
103.9253,19.0104,12.2683
101.3755,18.6909,12.6517
98.8856,18.0317,13.2092
96.3798,17.5721,13.5188
93.5756,16.8786,13.8855
90.6683,16.4715,14.4199
87.7764,16.0057,15.0542
84.9508,15.4943,15.6973
82.2087,15.1599,16.1414
79.1360,14.8395,16.7205
76.3016,14.5719,17.2566
73.2045,14.5486,17.6882
70.2213,14.5519,18.3129
67.3683,14.6399,18.9525
64.2356,14.6460,19.5710
61.7990,14.5156,19.8874
59.0003,14.4464,20.4836
56.2477,14.5031,21.0082
53.2133,14.3418,21.6262
50.2100,14.1585,22.4618
47.3194,14.1415,23.1548
44.4879,14.1786,23.5892
41.1789,13.9514,24.5605
38.4485,13.7624,25.2273
35.4650,13.7495,25.9579
32.6111,13.5820,26.6943
29.6579,13.2719,27.4781
27.1520,13.0952,28.0864
24.4224,12.7688,28.8565
21.8409,12.6990,29.4166
21.4327,11.8565,27.2442
18.3919,11.4677,28.3313
15.8070,10.9962,29.2470
13.0301,10.6455,30.2258
10.3308,10.3373,31.4208
7.1792,9.9355,34.1988
5.0547,9.6378,34.6602
3.5227,8.7800,33.2467
0.9007,8.7909,35.8827
-0.8200,8.2183,35.4268
-2.6656,8.0124,35.3365
-4.8470,8.1523,38.3674
-6.4224,8.0144,39.3012
-7.8288,8.0316,40.2270
-9.3143,8.0000,40.8437
-10.5698,7.9529,41.9656
-11.7491,7.9708,42.3523
-12.6463,8.0188,43.6127
-13.5831,8.0888,44.1766
-14.4116,8.1677,44.8677
-15.1116,8.1850,45.6056
-15.9324,8.0911,46.1276
-16.5454,8.0226,46.9301
-17.2622,7.9274,47.5059
-17.5226,7.8877,48.3088
-18.9968,7.7530,47.5138
-18.8727,7.7363,48.8450
-18.6195,7.7962,50.1292
-19.1461,7.7154,50.4232
-18.9333,7.6354,51.5006
-19.1775,7.5298,51.9175
-19.1286,7.4469,52.5509
-19.4490,7.2804,52.7836
-20.0214,6.6156,52.8444
-20.4644,6.4643,52.9726
-20.8221,6.3610,53.1307
-20.0237,6.3768,54.1320
-20.2615,6.1748,54.2678
-19.4431,6.2017,55.1702
-19.5979,6.0057,55.3531
-18.4287,6.0917,56.3430
-17.9717,5.9343,56.8637
-19.2200,5.2036,56.3158
-18.2777,5.3139,57.0613
-18.5790,5.0156,57.0558
-18.3449,4.9550,57.3276
-17.8347,4.8861,57.7582
-17.6044,4.7757,58.0323
-17.4237,4.6670,58.2500
-16.3604,4.8008,58.9026
-16.1142,4.7378,59.1096
-15.4294,4.7924,59.5346
-14.7717,4.8376,59.9390
-14.5441,4.7790,60.1061
-13.7438,4.9069,60.5264
-12.8678,4.8954,60.9689
-12.6434,4.8550,61.1079
-11.3618,4.9784,61.7055
-10.9329,4.8836,61.9113
-10.5563,4.8451,62.0841
-9.5401,5.0539,62.5205
-9.2361,4.9658,62.6511
-8.7207,4.8017,62.8626
-7.4396,5.0746,63.3736
-7.5702,4.7675,63.3367
-7.2768,4.7327,63.4574
-5.5888,4.9685,64.0562
-5.3407,4.7472,64.1337
-5.1201,4.6747,64.2002
-4.0402,4.8795,64.7097
-3.5961,4.6902,64.7606
-3.5142,4.6613,64.8460
-2.4637,4.7313,65.1767
-2.0580,4.6891,65.3238
-1.4539,4.7487,65.5437
-0.9021,4.7470,65.7405
-2.4174,4.8036,65.9546
-1.2698,4.8096,65.9181
-1.3955,4.7650,66.3769
0.8448,4.6865,66.3718
0.4055,4.6066,66.8857
1.9941,4.6135,66.8178
1.7186,4.6259,66.9122
2.1727,4.5959,67.0023
1.3373,4.6175,67.4064
3.3829,4.7084,67.3191
3.5567,4.6841,67.3899
3.9603,4.7364,67.5485
2.7556,4.6189,67.7052
4.6411,4.8950,67.8057
4.1672,4.7022,68.1158
4.4508,4.7297,68.1436
4.8568,4.7058,68.1797
5.6182,4.7054,68.3834
6.2911,4.7000,68.5492
-8.7135,5.3456,70.1369
7.1689,4.7954,68.7554
-8.7098,5.3036,70.5313
-8.7049,5.2667,70.5454
-8.7136,5.3324,70.8367
-8.7056,5.2501,71.0159
-8.7016,5.2361,71.2237
-8.7006,5.2258,71.3666
-8.7026,5.2175,71.5135
-8.6984,5.1968,71.7061
-8.7013,5.2170,71.7963
-8.6908,5.1620,71.7842
-8.6917,5.1607,71.9104
-8.6426,4.8672,71.9588
-8.6622,4.9841,72.0371
-8.6618,4.9834,72.0162
-8.6632,4.9903,72.0012
-8.6707,5.0355,72.0125
-8.6549,5.1867,67.8185
-8.6221,4.8023,67.8128
-8.5997,4.5805,68.0033
-8.5597,4.2592,68.1629
-8.5419,4.1257,68.1893
-8.6549,4.9102,71.2958
-8.6655,4.9953,71.4486
-8.6468,4.8874,71.5920
-8.6735,5.0636,71.8291
-8.6672,5.0253,71.5692
-8.6702,5.0354,71.5889
-8.6766,5.0834,71.7454
-8.6675,5.0246,71.6595
-8.6235,4.7582,71.5920
24.1862,-15.3013,49.4505
24.1898,-15.2772,49.5013
-8.4242,3.4032,67.3576
0.7776,4.1673,66.2841
0.8898,3.9979,66.3582
97.3727,36.2172,103.5073
8.7020,4.9442,69.4470
8.0791,4.9437,69.5385
98.1131,39.5133,107.7001
74.0614,-33.4797,30.6932
99.1625,44.3905,113.7590
99.2013,45.1961,114.9914
99.2948,46.6124,117.0114
99.8808,49.9467,121.3134
100.6001,53.0771,125.0113
100.8485,67.2132,145.1639
