scorer,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000,DeepCut_resnet50_Cheetah-merge3Sept26shuffle1_200000
bodyparts,r_eye,r_eye,r_eye,r_shoulder,r_shoulder,r_shoulder,r_front_knee,r_front_knee,r_front_knee,r_front_ankle,r_front_ankle,r_front_ankle,r_front_paw,r_front_paw,r_front_paw,spine,spine,spine,r_hip,r_hip,r_hip,r_back_knee,r_back_knee,r_back_knee,r_back_ankle,r_back_ankle,r_back_ankle,r_back_paw,r_back_paw,r_back_paw,tail1,tail1,tail1,tail2,tail2,tail2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,34.41207981,354.4087328,0.984254122,3.770276606,350.5896404,0.021033213,1063.982243,1032.25543,0.028182652,928.3122067,1053.617507,0.046439286,922.0632259,1067.456441,0.011467304,2.654229283,344.0098519,0.017952165,1069.570665,1029.579636,0.002364364,985.8529508,389.624874,0.041433398,495.5031157,859.239282,0.117986739,927.8892715,1067.43132,0.029512079,928.5826354,1047.543142,0.075120747,461.7347299,885.1493253,0.13389419
1,60.63564211,354.4445922,0.997097731,3.103335977,364.9142961,0.017903179,1064.051313,1032.213779,0.02471127,928.3763614,1053.620115,0.047091771,11.34411991,494.4326789,0.257616401,3.812434554,349.5145643,0.078355946,2.677639246,486.5031323,0.002849556,985.3878641,389.8108945,0.043122366,495.5752134,859.2331786,0.122815512,927.8377161,1067.385517,0.032036457,23.6668725,461.76526,0.153436854,461.751289,885.2600436,0.115885459
2,87.79263163,355.6799979,0.991872489,13.32100439,372.6515779,0.689786255,4.484844685,410.0910352,0.058563005,928.3327565,1053.603614,0.047676731,4.622470796,473.2741582,0.04907009,4.942219257,359.7924967,0.133540303,9.867103577,371.7616039,0.016267126,2.346004725,457.0734003,0.069927357,495.555953,859.2080549,0.132076278,6.053642988,474.0618021,0.146196797,928.6700773,1047.513667,0.071379207,461.7758367,885.1549408,0.125749633
3,117.9895508,354.1491722,0.994689226,35.67396924,374.4015915,0.969225526,6.041831255,405.500025,0.291563392,26.06409526,455.403451,0.541080058,20.14712036,465.7037959,0.39551422,10.5886867,354.6056137,0.220632792,3.431606889,451.794776,0.009224119,985.2283833,389.7908127,0.047348812,495.5871093,859.2109698,0.129689366,34.83305264,474.349106,0.180754781,928.7258477,1047.43468,0.07151705,461.6537962,885.1910818,0.118908681
4,148.3320685,352.9582455,0.993875206,61.09418964,377.7244132,0.98623544,27.50328749,412.2932465,0.958632529,69.33808827,458.147707,0.963327408,52.7976799,466.5451511,0.979881763,33.36792374,357.5407166,0.073278248,3.767969623,370.3871374,0.019493917,985.3012908,389.7720041,0.04507906,21.70152783,481.1688013,0.210685834,46.69738102,482.0553927,0.294850379,29.17673528,472.2261667,0.076992989,461.6120434,885.1776675,0.112029612
5,179.0270735,354.3738865,0.991142511,94.29297328,378.9254994,0.986838996,58.06988132,415.3542767,0.91026777,107.8863096,459.3016832,0.903796315,96.09985995,475.9091292,0.921354651,57.8943758,361.2828283,0.94276607,4.096425526,378.3990576,0.037804496,9.609689474,449.9519646,0.195988849,19.54764816,502.8145285,0.379070282,89.56270027,483.9837527,0.88576889,928.6719561,1047.285646,0.091862902,461.7584044,884.8813623,0.104408629
6,210.8430047,356.655192,0.994175673,126.2388511,379.7997745,0.984878361,90.546363,420.5713562,0.980148494,146.8547544,464.8570766,0.936482668,134.2077904,478.1448348,0.907440603,89.084939,361.7805805,0.962415755,17.18470001,387.190301,0.836951733,38.73208809,462.7456102,0.93676585,77.41098225,478.5941215,0.313605279,129.8509769,488.8833685,0.862797379,928.6031203,1047.303375,0.100612469,462.1511579,884.7058004,0.104077108
7,244.2237273,360.3882961,0.990728617,159.7111273,382.7369416,0.965401471,128.7347584,426.3512949,0.968535721,185.3959584,465.1067331,0.971544564,175.7552962,481.3797266,0.950839221,121.8685057,366.4339395,0.994603097,52.28809708,393.8259411,0.95655036,59.11624712,470.9894984,0.977577031,110.1545691,489.9306164,0.273191184,157.8973314,500.3531919,0.297001332,928.316958,1047.321438,0.129695997,462.0165682,884.5861011,0.100204468
