scorer,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000
8,926.2680428,601.5709043,0.001906426,922.645466,592.1062393,0.002321447,923.4716244,603.7429027,0.001280566,927.6518054,603.0867949,0.000915422,923.6231069,600.8858445,0.002879632,936.4588354,603.047074,0.025509655,927.8164177,597.168401,0.002365783,924.9301411,601.2560303,0.00276133,927.1825333,604.7983306,0.000716045,922.6998992,596.6256059,0.001361157,922.6565027,603.8334699,0.004617354,923.4731245,601.4732316,0.002566856,922.0709988,602.3375646,0.0017683,926.6325707,601.236069,0.00332,926.1886792,603.3691117,0.002122032,922.7164626,602.9889112,0.000965183,924.9606215,601.8674786,0.002824224,927.170836,600.6379108,0.001564801,926.9977407,601.5658538,0.000371296,928.3256516,602.988247,0.000775207,936.2656002,603.3252313,0.000445875,921.7372699,602.2271652,0.999663949
9,939.6135547,599.8536353,0.002203217,922.5526751,592.0697145,0.002287834,923.9200642,603.9453253,0.001263769,939.0208703,603.4260011,0.001351309,924.5525785,600.9303944,0.0027245,937.5613129,602.8049394,0.042805273,939.5326702,600.5317886,0.002046576,925.5778166,601.1155822,0.003060156,938.2459531,603.1936688,0.000656884,923.8412076,601.2268419,0.001369448,923.2053379,603.992251,0.00414063,923.624078,601.2560611,0.002526671,922.5994407,602.4218274,0.002034802,927.3655362,601.1640694,0.003442179,927.1077321,603.7523572,0.002066001,923.2939562,602.952827,0.001034216,925.7051381,602.1412042,0.002673582,927.6669903,600.7096927,0.001818087,927.234221,601.7853894,0.000376403,929.0168266,603.3777514,0.00061648,937.1294055,603.3023933,0.000579417,925.1670356,602.4365156,0.999686122
10,939.8666922,599.8217192,0.002480473,922.5113068,592.1331472,0.002083177,924.0449354,603.9827101,0.001172606,939.2718565,603.4693796,0.001585988,924.7718576,601.0405195,0.002455302,937.7958612,602.8040648,0.047283534,939.696113,600.5406923,0.002502115,925.7112496,601.1197951,0.002921635,938.349504,603.31918,0.00079948,923.8411455,601.2914991,0.001242363,923.3423516,604.1115741,0.003567716,923.5859701,601.2576747,0.002305265,922.7391173,602.5126206,0.001813274,927.5542717,601.1969242,0.00331839,927.2938638,603.9860755,0.001930687,923.3923647,602.964586,0.000936798,925.9057528,602.260076,0.002386945,933.1052372,601.2834902,0.001712636,927.2562459,601.8439913,0.00034489,929.1397276,603.5374779,0.0005088,937.328326,603.2414092,0.000646181,925.6120996,602.5149673,0.999754369
11,939.8686974,599.8661613,0.002819757,938.7178985,601.2800386,0.002110225,924.2082751,604.0392245,0.001280157,939.3416157,603.6112674,0.001744543,924.9961031,601.1375532,0.002439554,937.9875274,602.7854654,0.051504023,939.7741568,600.5453711,0.002788739,925.8808111,601.1215789,0.00298264,938.4493359,603.395362,0.000985908,923.9718379,601.3034136,0.001391245,923.3269725,604.1638604,0.00344215,923.6186938,601.1545615,0.002387116,922.9162358,602.5547869,0.002108699,927.731163,601.2087357,0.003361369,927.5840294,604.1136149,0.002137137,923.4807179,602.8868014,0.001012278,926.0640368,602.3482993,0.002520367,933.385494,601.2842371,0.002048491,927.2791781,601.8809674,0.000373329,938.2940187,604.0672028,0.000593056,937.3677027,603.346442,0.000735767,925.8631139,602.5680987,0.999789417
12,940.0240618,599.924263,0.002940442,938.9565157,601.3343275,0.002091199,924.2943025,603.9983909,0.001310445,939.5040685,603.62723,0.00177866,925.1532921,601.1580758,0.002482148,938.2591754,602.7873336,0.051271845,939.7994598,600.5708246,0.002900898,925.9518828,601.0813911,0.003057546,938.4736915,603.4166535,0.001090988,923.9818263,601.321382,0.001449139,923.354648,604.2102697,0.003439939,923.6156212,601.1318803,0.002399801,922.9875576,602.6016731,0.002184656,927.7756102,601.1877282,0.003424144,927.6839933,604.2180162,0.002191988,923.5392624,602.8759528,0.00106313,926.1544268,602.4416326,0.002544279,933.5285707,601.273356,0.002137871,927.2805109,601.9608927,0.000390821,938.5048946,604.0539256,0.000659548,937.5421982,603.3495212,0.000784451,926.0806022,602.5813824,0.999777973
13,939.8923632,599.9689178,0.003234587,938.9446286,601.3578537,0.002254212,924.2501426,604.1456655,0.001303526,939.5794519,603.5040308,0.001634292,925.2322953,601.0543923,0.002316654,938.3518568,602.8050642,0.051967416,940.0701833,600.6322694,0.002758134,926.0729077,601.0774877,0.002881716,938.6998022,603.4753915,0.001109621,924.0339372,601.2345726,0.001504197,923.2533892,604.1254817,0.003283655,923.7451634,600.9581773,0.002450765,923.1342584,602.5921335,0.002208478,927.940098,601.2191131,0.003256733,927.9856434,604.1143578,0.002072002,923.6600529,602.7552252,0.001100864,926.207768,602.3979739,0.002453417,933.5301152,601.2230546,0.002205768,927.3138561,601.9265852,0.000379704,938.5829674,603.9100927,0.000799483,937.6362519,603.3276263,0.000785274,926.3342319,602.5781642,0.999800026
14,939.6073584,599.8377218,0.003715239,939.0030534,601.1254067,0.002397337,924.1452961,604.3656525,0.001057544,940.0666548,603.343356,0.00216355,925.7470241,601.0775027,0.001718371,938.2910019,602.5164969,0.040477592,940.9259424,600.5537896,0.003358267,926.311327,600.9719546,0.002643641,939.3186806,603.8323593,0.001596161,924.0703615,601.2535326,0.001443819,923.5097143,604.2378051,0.002586976,924.0084361,600.8773396,0.002298002,923.4429486,602.5593871,0.00183708,928.449852,601.1986225,0.00298755,928.8623714,604.1678665,0.001734049,924.1373791,602.7553536,0.001039891,926.5446227,602.7068406,0.002025399,927.9422762,600.8591495,0.002054182,927.1931665,601.9670503,0.000328956,938.8505418,603.4046114,0.000922405,937.4744868,603.3408708,0.000763136,927.5999537,602.6262394,0.999878526
15,939.5144188,599.8969102,0.003810358,938.9722698,601.124299,0.002326528,924.1612295,604.4165324,0.001075523,940.2313984,603.4031605,0.002211578,925.9211568,601.1191082,0.001688736,938.2992204,602.461284,0.038546827,941.081797,600.5701201,0.003401224,926.3651545,600.9772243,0.00267796,939.4686885,603.9384642,0.001673531,924.1052572,601.284636,0.001486429,923.5482778,604.2708914,0.002480166,924.1242454,600.8744969,0.002327795,923.5328624,602.565486,0.001859231,928.546176,601.2166989,0.003028173,929.1195173,604.2116322,0.001703491,924.293525,602.7829924,0.001077603,926.6367409,602.7963493,0.001978992,927.9301219,600.8610308,0.002161453,927.1749606,602.0266259,0.000336529,938.8928139,603.4014742,0.000952455,937.4853382,603.4064266,0.000758956,927.9174123,602.6752548,0.999889374
16,939.4694012,599.9315557,0.003926129,938.9882059,601.1411598,0.002359611,924.1573227,604.4214037,0.001069115,940.3019589,603.4631476,0.002299055,925.9853244,601.1317258,0.001627067,938.3283303,602.4959334,0.037952244,941.1364136,600.5922227,0.003465241,926.3765414,600.9658659,0.002648119,939.5368596,603.9933445,0.001755281,924.1385177,601.2919157,0.001474365,923.614054,604.288287,0.002443654,924.1703416,600.8886044,0.002301205,923.5997294,602.5700018,0.001847836,928.5689492,601.2165592,0.003006799,929.2050276,604.2172128,0.001668523,924.3565404,602.8056548,0.001073482,926.7001071,602.845807,0.001945917,927.910147,600.8551834,0.002180806,927.15731,602.0558155,0.000338691,938.8963732,603.4086613,0.000981329,937.5136969,603.4801434,0.000785546,928.052247,602.725666,0.999888659
17,939.3246508,600.095721,0.003806879,938.9458051,601.2370532,0.00225754,924.2139112,604.427168,0.001000973,940.283639,603.3780307,0.002003465,926.0823705,601.1483722,0.001483963,938.3515195,602.4634039,0.0363933,941.1304415,600.7423882,0.003077584,926.4184365,601.0471735,0.002351004,939.6912366,604.0174194,0.001525786,924.1601113,601.2937925,0.001350227,923.6120791,604.3129363,0.002461341,924.2002848,600.8833811,0.002122606,923.6915278,602.6311555,0.001646542,928.5831094,601.2190502,0.002729328,929.3315725,604.2209967,0.001492912,924.3987656,602.8462023,0.001016244,926.7404516,602.9264178,0.001807026,927.9790065,600.8186548,0.002079138,927.317415,602.1142777,0.000324003,938.939544,603.335441,0.000976134,937.5341575,603.3997123,0.000763845,928.2555435,602.7203209,0.999885798
