scorer,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000,DeepCut_resnet50_cheetahsept18shuffle1_540000
bodyparts,r_eye,r_eye,r_eye,r_shoulder,r_shoulder,r_shoulder,r_front_knee,r_front_knee,r_front_knee,r_front_ankle,r_front_ankle,r_front_ankle,r_front_paw,r_front_paw,r_front_paw,spine,spine,spine,r_hip,r_hip,r_hip,r_back_knee,r_back_knee,r_back_knee,r_back_ankle,r_back_ankle,r_back_ankle,r_back_paw,r_back_paw,r_back_paw,tail1,tail1,tail1,tail2,tail2,tail2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,831.0471029,552.9456375,7.82E-05,828.2517328,550.660346,0.000114348,830.7835264,551.5381017,5.15E-05,828.1332484,547.5838356,4.01E-05,833.9939799,550.5781689,9.07E-06,985.0592418,1015.178332,0.000139047,828.2143627,550.0175538,4.00E-05,829.8549911,552.0244691,2.58E-05,827.2046146,550.9955053,1.58E-05,826.8211712,551.3457417,2.96E-05,829.8056614,552.0375774,0.000219854,830.0960743,551.1383224,0.000382201
1,830.4710898,552.7741761,4.17E-05,827.569913,550.7859874,5.02E-05,830.117676,551.646883,1.88E-05,827.187708,547.6833067,1.97E-05,832.4878607,550.5738196,4.67E-06,825.3631876,549.7678952,3.09E-05,827.9792964,549.9396458,2.04E-05,829.4951609,551.9806838,1.78E-05,826.5725344,551.2431135,7.01E-06,826.4558932,551.6023469,1.01E-05,829.4313207,551.8804092,8.09E-05,829.2398638,551.0216122,0.000149268
2,830.4226282,552.7801793,4.25E-05,827.5612188,550.772583,5.16E-05,830.1011839,551.6374412,1.94E-05,827.1167243,547.6840219,2.08E-05,832.4256911,550.572598,4.98E-06,825.3915834,549.7633352,3.19E-05,827.9582301,549.9341226,2.13E-05,829.4617505,551.9741282,1.83E-05,826.5293697,551.2251573,7.35E-06,826.396497,551.587779,1.06E-05,829.3904556,551.8878469,8.22E-05,829.2035947,551.0342665,0.000155525
3,830.3420627,552.7888508,4.08E-05,827.5972078,550.7824807,4.85E-05,830.0636034,551.638083,1.82E-05,827.0745788,547.6828222,1.93E-05,832.3482423,550.5598021,4.63E-06,985.3102548,1016.415865,4.73E-05,827.9804387,549.9276452,2.08E-05,829.4284086,551.9772949,1.79E-05,826.4912304,551.2165904,6.97E-06,826.3503087,551.5946565,1.04E-05,829.3644708,551.9135776,7.90E-05,829.1515932,550.9965897,0.000141456
4,830.261761,552.7727859,4.00E-05,827.5934276,550.7973623,4.74E-05,830.0058126,551.6075091,1.80E-05,827.010086,547.6643019,1.86E-05,832.2258906,550.5510697,4.53E-06,985.5549729,1016.520075,0.00018536,828.0061646,549.9089088,2.05E-05,829.3461149,551.9486156,1.80E-05,826.4639066,551.1892638,6.90E-06,826.2969109,551.564549,1.06E-05,829.3306599,551.9259896,8.12E-05,829.0734041,550.9597349,0.000136228
5,830.979425,552.814373,2.18E-05,828.2151008,550.7159648,2.90E-05,830.6275892,551.6464744,1.03E-05,828.1427997,547.8863249,1.07E-05,833.5655503,550.8711376,1.67E-06,986.7713054,1019.987722,2.46E-05,828.1135478,549.9871368,9.05E-06,829.900791,552.3222065,7.79E-06,827.2810988,551.1586776,3.88E-06,827.1680813,551.8310442,5.57E-06,829.8607658,551.783967,4.12E-05,830.1591463,551.2099099,5.84E-05
6,831.0149789,552.8772388,2.39E-05,828.261709,550.7715163,3.14E-05,830.6359963,551.6658411,1.19E-05,828.1928885,547.9493837,1.10E-05,833.6541533,550.8951387,1.80E-06,825.1080823,549.8558898,2.65E-05,828.1223765,550.066946,9.74E-06,829.9122607,552.3206739,8.47E-06,827.3329986,551.185606,4.40E-06,827.2179769,551.8074293,6.19E-06,829.9321837,551.8310323,4.78E-05,830.2671633,551.2447238,6.99E-05
7,830.9892426,552.837379,2.05E-05,828.2660545,550.778676,2.64E-05,830.5925994,551.6375265,9.94E-06,828.1937458,547.9476414,9.20E-06,833.5581088,550.8891649,1.46E-06,825.1063762,549.8746734,2.27E-05,828.1326088,550.0542483,8.21E-06,829.8755645,552.3129888,7.43E-06,827.2862255,551.2052116,3.74E-06,827.2407795,551.8476524,5.05E-06,829.9220277,551.7965493,4.24E-05,830.2251968,551.2313657,5.81E-05
