scorer,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000,DeepCut_resnet50_Cheetah-merge1Sept21shuffle1_500000
bodyparts,r_eye,r_eye,r_eye,r_shoulder,r_shoulder,r_shoulder,r_front_knee,r_front_knee,r_front_knee,r_front_ankle,r_front_ankle,r_front_ankle,r_front_paw,r_front_paw,r_front_paw,spine,spine,spine,r_hip,r_hip,r_hip,r_back_knee,r_back_knee,r_back_knee,r_back_ankle,r_back_ankle,r_back_ankle,r_back_paw,r_back_paw,r_back_paw,tail1,tail1,tail1,tail2,tail2,tail2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1376.658689,1054.919767,1.88E-06,815.9083478,551.9897895,7.36E-06,1375.156037,1055.557112,1.66E-05,824.1300199,541.6437749,1.32E-06,824.9818475,543.9019387,1.33E-06,828.8385133,540.0272971,1.15E-05,825.3752978,539.5819899,1.58E-06,1374.016654,1055.888974,1.61E-06,823.6122627,540.2801711,3.38E-06,825.0218313,544.1202221,3.79E-05,813.4043853,540.4542097,2.71E-06,1373.847295,1058.85538,8.80E-06
1,1387.261681,1051.09712,1.59E-06,815.2602611,551.7427325,2.75E-06,1375.635473,1054.786896,2.29E-05,-0.970702648,2.039842367,8.52E-07,-4.40786171,1.80021596,6.22E-07,828.1782738,539.860568,3.16E-06,2.233936787,3.129191935,1.49E-06,1374.476863,1055.888638,1.01E-06,0.765898705,-0.604728222,2.35E-06,824.7078075,544.0732303,1.07E-05,812.5043138,540.187771,6.20E-07,2.055641532,-0.749969959,7.50E-06
2,1386.968669,1050.984074,1.88E-06,815.2837427,551.8182878,3.09E-06,1375.712781,1054.489382,2.22E-05,-0.969562054,2.039232135,8.50E-07,-4.405439377,1.799381495,6.21E-07,828.2024075,539.8410144,3.36E-06,2.234467626,3.130562007,1.49E-06,1374.992777,1055.827143,1.02E-06,0.76527977,-0.604754448,2.35E-06,824.7018883,544.0650239,1.16E-05,812.4764248,540.2434746,7.00E-07,2.056861043,-0.750868797,7.48E-06
3,1386.829385,1051.23539,2.67E-06,815.2717502,551.7543797,2.56E-06,1375.683021,1054.642389,4.16E-05,-0.968863964,2.040707231,8.60E-07,-4.410305023,1.793531656,6.27E-07,828.1695589,539.8296068,3.01E-06,2.219003558,3.11956352,1.51E-06,1374.850834,1055.913908,1.62E-06,0.776942253,-0.592443466,2.38E-06,824.7201974,544.0923781,1.07E-05,5.708495975,-1.578652382,6.07E-07,2.067142725,-0.735490799,7.60E-06
4,1386.861977,1051.347945,2.67E-06,815.2374818,551.6738458,2.31E-06,1375.80274,1054.614439,3.63E-05,-0.97019577,2.038947225,8.60E-07,-4.413704872,1.794305563,6.29E-07,828.0315834,539.7948361,2.40E-06,2.211245656,3.119834363,1.51E-06,1374.753358,1055.862535,1.30E-06,0.779041052,-0.587102413,2.38E-06,824.7024715,544.0715852,8.89E-06,5.707905889,-1.575995445,6.06E-07,2.066021085,-0.730611324,7.63E-06
5,1386.871983,1051.103406,1.79E-06,7.210565329,3.097779214,1.28E-06,1375.411564,1054.630858,3.63E-05,-0.973138332,2.034370542,8.59E-07,-4.415994644,1.79054594,6.27E-07,827.866393,539.8181643,1.23E-06,2.20938921,3.118775785,1.51E-06,1374.340187,1055.767752,1.46E-06,0.777717829,-0.593727589,2.37E-06,1376.753232,1061.274185,8.09E-06,5.711071491,-1.576813698,6.04E-07,2.063118458,-0.731181622,7.62E-06
6,1387.288774,1051.147,1.42E-06,7.186179638,3.108452141,1.32E-06,1375.058355,1054.351367,4.32E-05,-1.025414467,2.07254076,8.64E-07,-4.380454063,1.740782738,6.28E-07,828.0412062,539.8433001,1.53E-06,2.217804193,3.090323687,1.49E-06,1374.09075,1055.32119,1.55E-06,0.772931814,-0.611064911,2.37E-06,1376.649417,1061.135188,1.01E-05,5.709570765,-1.574095249,6.09E-07,2.107965827,-0.766899109,7.60E-06
7,1387.312883,1050.901216,1.19E-06,7.186374426,3.108204424,1.32E-06,1375.009635,1054.572458,2.63E-05,-1.025396824,2.072773576,8.64E-07,-4.380376816,1.741111279,6.28E-07,827.9555476,539.8843274,1.44E-06,2.217611074,3.0902946,1.49E-06,1373.944163,1055.519413,9.72E-07,0.772916079,-0.610813141,2.37E-06,1376.154781,1061.222216,5.87E-06,5.709647298,-1.573830128,6.09E-07,2.107848167,-0.766680717,7.61E-06
